date,total_revenue,total_orders,total_items,unique_customers
2010-07-01,28516.45,81,16141,80
2010-07-02,15989.83,43,8571,35
2010-07-04,8421.26,21,5033,20
2010-07-05,28304.99,79,15071,63
2010-07-06,16838.63,54,9899,47
2010-07-07,22237.26,56,12281,54
2010-07-08,18367.57,64,11589,58
2010-07-09,9148.56,24,6028,23
2010-07-11,7475.86,25,5152,23
2010-07-12,14634.64,44,8726,36
2010-07-13,13652.9,44,7399,36
2010-07-14,18463.27,51,10530,46
2010-07-15,20721.44,73,15757,63
2010-07-16,20014.35,61,13756,56
2010-07-18,12648.9,38,8480,36
2010-07-19,26036.92,56,16281,54
2010-07-20,21180.89,53,11062,47
2010-07-21,18012.79,45,12099,41
2010-07-22,18873.8,59,11643,55
2010-07-23,13659.2,37,8859,36
2010-07-25,16505.9,53,11130,50
2010-07-26,18636.71,52,13462,47
2010-07-27,16567.46,61,10074,56
2010-07-28,21891.32,61,12801,58
2010-07-29,21431.57,62,10933,58
2010-07-30,10621.08,42,6898,37
2010-08-01,8740.29,31,4940,26
2010-08-02,17253.39,55,9624,47
2010-08-03,16613.64,46,10169,45
2010-08-04,17023.45,48,10863,47
2010-08-05,20270.19,49,15368,46
2010-08-06,13114.6,32,8966,29
2010-08-08,12751.14,42,8045,40
2010-08-09,17666.76,47,29717,40
2010-08-10,18470.83,38,13300,33
2010-08-11,11163.64,35,6267,33
2010-08-12,22631.19,68,16344,53
2010-08-13,12632.53,38,8649,33
2010-08-15,16405.33,54,11479,50
2010-08-16,13041.34,32,9687,31
2010-08-17,23131.42,43,15604,39
2010-08-18,24092.64,53,17212,47
2010-08-19,23480.88,65,17291,54
2010-08-20,19368.99,55,14817,48
2010-08-22,21423.81,60,13435,51
2010-08-23,19483.92,44,12564,37
2010-08-24,19904.010000000002,57,13968,50
2010-08-25,28376.97,67,16264,60
2010-08-26,26774.27,67,14142,63
2010-08-27,10586.83,31,5914,29
2010-08-29,14183.38,39,8406,36
2010-08-31,16149.52,51,9383,45
2010-09-01,16958.65,37,10012,35
2010-09-02,25600.65,81,17216,73
2010-09-03,18039.27,49,10401,46
2010-09-05,12169.95,34,7143,34
2010-09-06,20030.02,47,11630,39
2010-09-07,17166.0,47,11229,43
2010-09-08,15749.78,48,9753,45
2010-09-09,22889.8,63,12858,59
2010-09-10,14831.45,42,8721,37
2010-09-12,15762.29,48,9409,46
2010-09-13,21156.0,60,16162,49
2010-09-14,19100.44,61,11035,55
2010-09-15,27284.13,64,18688,61
2010-09-16,25293.041,65,13971,51
2010-09-17,16489.55,42,10038,40
2010-09-19,22207.94,57,13262,54
2010-09-20,31086.72,70,19231,57
2010-09-21,44390.65,97,29826,74
2010-09-22,19603.38,62,11452,36
2010-09-23,33666.54,81,20396,72
2010-09-24,30430.33,54,18205,44
2010-09-26,20532.37,61,13146,51
2010-09-27,40639.590000000004,78,43720,62
2010-09-28,38629.31,109,21640,91
2010-09-29,31755.72,91,19049,81
2010-09-30,34953.55,77,21630,72
2010-10-01,21564.94,60,14163,53
2010-10-03,35185.41,75,19697,64
2010-10-04,32579.19,74,21708,70
2010-10-05,43690.69,113,29935,99
2010-10-06,24019.98,57,16732,56
2010-10-07,42780.58,109,26308,91
2010-10-08,32422.31,62,21221,55
2010-10-10,22747.98,67,12330,59
2010-10-11,33655.31,82,20089,76
2010-10-12,37195.49,100,23200,91
2010-10-13,42711.93,80,33752,74
2010-10-14,42788.72,91,24032,77
2010-10-15,34631.22,91,19986,78
2010-10-17,29370.05,69,18046,61
2010-10-18,30577.68,93,16095,86
2010-10-19,30666.5,72,21018,64
2010-10-20,35028.8,99,20792,86
2010-10-21,28754.83,86,14547,75
2010-10-22,26770.03,75,13246,66
2010-10-24,27801.3,82,15298,74
2010-10-25,23162.75,69,12537,63
2010-10-26,37816.21,94,22824,84
2010-10-27,28822.75,69,14231,65
2010-10-28,20323.64,55,11238,51
2010-10-29,27862.99,64,15445,58
2010-10-31,28382.21,81,16199,78
2010-11-01,19468.11,51,11442,46
2010-11-02,38583.26,84,21999,78
2010-11-03,32908.7,85,18839,74
2010-11-04,51036.1,119,29840,100
2010-11-05,30800.93,63,15046,55
2010-11-07,31116.3,81,18371,75
2010-11-08,29893.181,75,17903,66
2010-11-09,42060.65,108,23460,96
2010-11-10,42807.96,117,24008,96
2010-11-11,41883.73,114,22133,95
2010-11-12,28177.1,95,17355,79
2010-11-14,27591.41,85,14280,75
2010-11-15,34493.62,96,18153,82
2010-11-16,49948.31,102,33755,92
2010-11-17,38727.931,111,24323,96
2010-11-18,32009.38,93,17451,88
2010-11-19,34378.020000000004,98,19221,88
2010-11-21,32216.6,96,18045,89
2010-11-22,29480.63,87,15484,79
2010-11-23,44868.54,126,23171,111
2010-11-24,33053.93,110,18880,98
2010-11-25,49111.32,144,27466,132
2010-11-26,28279.38,77,14723,71
2010-11-28,25689.66,90,14654,83
2010-11-29,46797.59,97,29909,88
2010-11-30,43332.57,114,21988,100
2010-12-01,70719.86,115,39662,92
2010-12-02,70857.84,129,44376,94
2010-12-03,38726.86,53,18902,48
2010-12-05,57873.08,84,30350,73
2010-12-06,53571.200000000004,94,29398,82
2010-12-07,44205.44,66,21278,63
2010-12-08,70646.76,107,37526,95
2010-12-09,59100.04,95,27594,87
2010-12-10,25653.760000000002,70,14300,52
2010-12-12,15845.61,41,8719,40
2010-12-13,25226.04,63,14131,58
2010-12-14,26853.8,79,16518,72
2010-12-15,26845.92,69,17678,65
2010-12-16,33732.48,107,21626,96
2010-12-17,17738.26,52,10239,48
2010-12-19,6595.63,18,3323,17
2010-12-20,17322.36,49,11371,41
2010-12-21,10694.960000000001,25,7114,21
2010-12-22,3938.44,13,2554,12
2010-12-23,5648.97,17,3222,15
2011-01-04,11207.58,35,6683,34
2011-01-05,22499.19,46,16287,43
2011-01-06,28312.34,44,18505,44
2011-01-07,18853.65,43,12944,42
2011-01-09,14089.08,48,7722,48
2011-01-10,14589.83,32,9184,31
2011-01-11,17053.3,49,10279,45
2011-01-12,15543.74,42,7711,42
2011-01-13,13735.710000000001,39,7862,39
2011-01-14,18868.66,38,13232,37
2011-01-16,6432.06,24,3556,21
2011-01-17,15439.35,46,8472,45
2011-01-18,9183.95,30,6209,29
2011-01-19,15209.02,33,11198,33
2011-01-20,13543.61,34,7705,30
2011-01-21,20975.2,34,11810,32
2011-01-23,9625.35,27,5159,27
2011-01-24,17400.37,44,9441,43
2011-01-25,21936.02,59,14067,57
2011-01-26,15810.06,50,10041,47
2011-01-27,21686.63,50,10726,50
2011-01-28,15765.1,37,8334,36
2011-01-30,6615.75,24,3431,22
2011-01-31,16707.68,55,10414,48
2011-02-01,24550.1,57,14327,56
2011-02-02,16669.15,56,8699,55
2011-02-03,15833.800000000001,44,9402,43
2011-02-04,14562.49,44,8161,40
2011-02-06,3457.11,11,2048,11
2011-02-07,12067.03,35,6100,33
2011-02-08,11935.07,37,7469,36
2011-02-09,10433.98,23,5761,22
2011-02-10,12313.91,40,7620,39
2011-02-11,10752.44,30,5751,30
2011-02-13,5474.83,20,2732,20
2011-02-14,14079.01,35,8121,35
2011-02-15,22846.86,52,13728,46
2011-02-16,21136.420000000002,60,14488,54
2011-02-17,17369.51,55,12474,50
2011-02-18,12268.5,35,7890,34
2011-02-20,9099.09,26,5305,26
2011-02-21,22666.9,31,15269,30
2011-02-22,24434.28,49,16416,46
2011-02-23,16653.21,49,9662,46
2011-02-24,20950.97,53,11339,52
2011-02-25,16064.61,43,9041,40
2011-02-27,9317.7,33,4726,31
2011-02-28,14597.02,51,8304,49
2011-03-01,19981.97,55,10985,52
2011-03-02,15593.19,39,8329,37
2011-03-03,18706.53,46,14391,45
2011-03-04,13704.79,44,8668,37
2011-03-06,9997.42,26,5048,24
2011-03-07,15152.48,57,8026,48
2011-03-08,20580.76,44,12722,41
2011-03-09,16961.41,50,10100,46
2011-03-10,19100.82,50,13549,45
2011-03-11,14920.24,44,7870,39
2011-03-13,4148.12,16,2749,16
2011-03-14,20064.91,46,12278,39
2011-03-15,13994.83,41,7569,40
2011-03-16,20239.14,48,12009,44
2011-03-17,17289.37,54,11391,49
2011-03-18,18123.07,52,10657,48
2011-03-20,16824.8,57,9698,56
2011-03-21,15451.05,47,8976,46
2011-03-22,17740.21,41,12087,40
2011-03-23,17887.0,58,11833,54
2011-03-24,21936.14,65,12456,61
2011-03-25,16694.55,50,9501,43
2011-03-27,8670.0,31,4473,31
2011-03-28,18235.16,58,11015,52
2011-03-29,26602.31,50,18974,46
2011-03-30,25025.18,64,16119,61
2011-03-31,21466.57,58,12676,56
2011-04-01,18883.7,61,11380,57
2011-04-03,6191.54,19,4635,18
2011-04-04,20046.63,52,11096,48
2011-04-05,19173.37,43,13187,42
2011-04-06,11964.880000000001,37,7609,36
2011-04-07,15240.37,60,9512,56
2011-04-08,19471.85,62,10797,60
2011-04-10,9376.18,32,5508,31
2011-04-11,18719.62,58,12361,53
2011-04-12,22563.02,59,14106,53
2011-04-13,19538.6,57,14131,52
2011-04-14,31855.4,80,16736,73
2011-04-15,16812.281,41,10964,40
2011-04-17,12367.5,41,7983,38
2011-04-18,18366.19,59,12799,53
2011-04-19,17633.84,52,12401,51
2011-04-20,18073.85,61,10798,57
2011-04-21,25343.39,69,15005,62
2011-04-26,18214.41,57,11684,53
2011-04-27,18448.28,58,14149,53
2011-04-28,20088.29,54,13116,49
2011-05-01,6973.66,18,3819,18
2011-05-03,17131.94,56,9296,48
2011-05-04,22810.88,60,15871,54
2011-05-05,21885.79,82,14549,76
2011-05-06,24100.7,73,14727,61
2011-05-08,18244.9,63,10552,58
2011-05-09,17760.61,58,10550,56
2011-05-10,26854.74,67,15523,60
2011-05-11,28013.94,71,15797,55
2011-05-12,42005.96,79,27983,66
2011-05-13,23276.33,66,12324,51
2011-05-15,9680.05,30,4771,29
2011-05-16,25442.04,62,13020,51
2011-05-17,27456.45,67,17013,54
2011-05-18,28171.77,71,15723,62
2011-05-19,30412.41,91,16090,81
2011-05-20,20727.72,68,12323,58
2011-05-22,21733.59,60,12449,56
2011-05-23,21832.73,58,12355,51
2011-05-24,18972.66,59,9652,52
2011-05-25,18166.43,59,10499,51
2011-05-26,18683.82,59,10445,49
2011-05-27,16587.420000000002,53,9657,46
2011-05-29,6278.3,24,3884,20
2011-05-31,14499.33,46,7955,45
2011-06-01,11614.29,36,7848,34
2011-06-02,23784.11,41,12394,33
2011-06-03,12330.02,38,6432,35
2011-06-05,23657.98,67,12729,62
2011-06-06,16290.98,56,9142,54
2011-06-07,21513.22,70,14508,67
2011-06-08,28726.63,82,17975,71
2011-06-09,25539.58,81,22878,75
2011-06-10,16034.42,41,9156,40
2011-06-12,11341.96,38,7913,38
2011-06-13,17911.91,52,10040,49
2011-06-14,15948.05,48,8842,40
2011-06-15,29340.6,49,23216,42
2011-06-16,23772.01,80,14673,73
2011-06-17,16284.09,44,9207,34
2011-06-19,20131.7,59,13911,56
2011-06-20,20059.23,55,12225,46
2011-06-21,18211.4,48,12081,45
2011-06-22,17683.74,56,12636,54
2011-06-23,22094.91,69,13740,64
2011-06-24,15268.210000000001,45,8961,40
2011-06-26,7082.49,26,3786,24
2011-06-27,11850.48,34,8535,30
2011-06-28,20563.53,43,15025,36
2011-06-29,11024.67,38,6881,36
2011-06-30,21034.66,61,11576,55
2011-07-01,11316.11,42,7364,35
2011-07-03,5782.39,25,3115,24
2011-07-04,12737.39,33,8027,29
2011-07-05,20968.06,63,13998,57
2011-07-06,19789.2,65,14932,60
2011-07-07,22890.86,72,14326,66
2011-07-08,14637.8,45,8927,41
2011-07-10,5993.87,24,4255,20
2011-07-11,17957.87,48,12819,43
2011-07-12,13511.130000000001,44,9907,41
2011-07-13,17080.85,56,13268,50
2011-07-14,23787.21,67,14904,60
2011-07-15,10740.3,35,6184,32
2011-07-17,15454.4,50,10535,45
2011-07-18,20428.62,45,12493,44
2011-07-19,34740.72,60,23705,56
2011-07-20,20070.7,51,13302,45
2011-07-21,24782.08,66,17810,56
2011-07-22,13042.43,36,8043,33
2011-07-24,19634.96,56,14462,52
2011-07-25,18790.53,52,13666,48
2011-07-26,16243.481,46,11387,44
2011-07-27,18966.32,43,11864,38
2011-07-28,27530.86,73,19498,65
2011-07-29,16808.61,61,10619,56
2011-07-31,17289.83,41,12794,37
2011-08-01,17003.8,37,9831,33
2011-08-02,17363.95,39,12288,37
2011-08-03,23487.51,61,14705,58
2011-08-04,36090.51,75,24291,73
2011-08-05,18322.54,50,11353,47
2011-08-07,7344.96,29,5025,28
2011-08-08,17086.72,37,10643,37
2011-08-09,19496.14,39,12975,37
2011-08-10,16255.26,42,10260,41
2011-08-11,32373.83,63,24811,57
2011-08-12,14459.57,44,8919,39
2011-08-14,5718.57,25,3180,21
2011-08-15,16647.42,48,10132,46
2011-08-16,15827.84,50,10274,44
2011-08-17,25572.14,48,14478,44
2011-08-18,34004.13,65,22737,63
2011-08-19,15647.59,54,10239,53
2011-08-21,12776.84,36,7163,34
2011-08-22,22710.78,61,13661,56
2011-08-23,20572.31,59,12275,55
2011-08-24,26549.84,69,19884,58
2011-08-25,20820.99,71,12669,67
2011-08-26,18352.16,41,13112,39
2011-08-28,10322.63,36,6630,35
2011-08-30,7673.91,21,3635,21
2011-08-31,17667.96,40,9609,37
2011-09-01,30033.13,73,21523,67
2011-09-02,18610.89,58,10356,53
2011-09-04,16357.75,49,9873,45
2011-09-05,27293.54,65,19363,55
2011-09-06,24781.52,61,14381,54
2011-09-07,21195.58,45,13083,41
2011-09-08,21770.66,70,13709,61
2011-09-09,24485.87,58,14776,52
2011-09-11,31497.73,75,19980,68
2011-09-12,27241.8,67,16174,62
2011-09-13,35566.83,61,23977,59
2011-09-14,20523.99,64,12706,57
2011-09-15,37168.53,73,20090,68
2011-09-16,23016.48,46,14076,44
2011-09-18,15128.93,27,8690,25
2011-09-19,37094.1,68,22968,62
2011-09-20,28434.41,62,15668,53
2011-09-21,31963.31,67,17598,65
2011-09-22,47956.78,109,30868,94
2011-09-23,29489.82,58,18590,56
2011-09-25,30928.661,75,19264,74
2011-09-26,24754.561,64,14217,61
2011-09-27,25380.6,74,18597,66
2011-09-28,32723.39,78,21921,71
2011-09-29,41820.29,102,26158,92
2011-09-30,26640.88,64,16754,57
2011-10-02,11131.15,34,8291,32
2011-10-03,29648.07,57,15216,45
2011-10-04,30725.04,69,18346,62
2011-10-05,45684.87,91,31301,81
2011-10-06,43210.14,116,25753,98
2011-10-07,34806.590000000004,83,21858,74
2011-10-09,11029.31,38,7165,35
2011-10-10,37212.43,87,23197,80
2011-10-11,34482.37,77,20561,69
2011-10-12,27411.37,82,16190,73
2011-10-13,30464.18,74,16871,67
2011-10-14,28166.44,68,16200,61
2011-10-16,19510.94,33,7768,31
2011-10-17,37337.3,81,24924,73
2011-10-18,33907.41,74,25311,71
2011-10-19,29020.9,76,17552,70
2011-10-20,44085.08,84,31479,75
2011-10-21,24698.64,61,15522,56
2011-10-23,12339.16,42,7073,39
2011-10-24,28874.56,68,18991,57
2011-10-25,31695.95,70,23255,63
2011-10-26,26470.82,87,16338,75
2011-10-27,38257.26,101,22955,90
2011-10-28,26550.61,64,17581,59
2011-10-30,34028.43,96,20034,88
2011-10-31,29055.83,63,14304,61
2011-11-01,26864.57,76,15401,74
2011-11-02,32318.56,79,20605,76
2011-11-03,32757.03,96,21316,83
2011-11-04,37953.86,84,25044,71
2011-11-06,42046.38,99,22897,87
2011-11-07,26925.24,88,15807,79
2011-11-08,36562.32,99,21070,95
2011-11-09,44766.38,113,27480,96
2011-11-10,56228.99,124,32436,111
2011-11-11,35564.090000000004,92,23315,86
2011-11-13,27794.9,83,19212,75
2011-11-14,46094.57,104,27782,93
2011-11-15,36109.52,101,21111,92
2011-11-16,43167.24,121,27186,108
2011-11-17,49100.12,135,28159,124
2011-11-18,33282.49,101,19009,96
2011-11-20,29269.56,98,18261,91
2011-11-21,33468.97,94,21624,83
2011-11-22,40025.91,123,24947,114
2011-11-23,57517.62,127,32512,106
2011-11-24,35716.51,109,22123,98
2011-11-25,23118.96,72,12990,68
2011-11-27,16957.28,56,10345,51
2011-11-28,41348.22,106,23694,94
2011-11-29,37362.76,122,21187,106
2011-11-30,40024.91,98,24006,91
2011-12-01,39341.49,117,22011,110
2011-12-02,33125.95,106,18725,89
2011-12-04,19635.8,62,11171,58
2011-12-05,48036.63,114,33607,104
2011-12-06,33945.76,106,24553,100
2011-12-07,43775.01,99,30637,91
2011-12-08,33727.87,109,20969,103
2011-12-09,13641.32,38,8952,32
